state,sex,age,educ,hisp,racecmb,relig,income,hh1,party,partyln,ideo,q2,q1,q55,q56
6,1,45,6,2,1,3,6,6,1,,1,2,2,4,3
6,2,97,4,2,1,1,10,1,2,,2,2,1,4,3
21,1,87,1,2,1,1,1,2,2,,4,1,1,3,1
28,2,62,6,2,1,1,8,2,1,,2,2,2,3,2
29,1,60,3,2,1,99,1,1,3,9,2,2,2,4,2
53,1,64,3,2,2,12,3,1,2,,4,2,1,2,1
40,2,72,4,2,1,1,3,1,2,,2,9,1,2,3
48,2,53,3,2,1,1,10,2,3,1,4,2,2,4,1
48,2,60,6,2,1,13,10,2,3,1,1,2,2,3,2
6,2,86,5,2,1,1,4,1,2,,2,2,9,2,3
32,2,55,6,2,1,1,10,2,1,,3,2,2,4,9
32,2,65,4,2,1,12,8,6,3,2,3,1,1,3,1
6,2,39,6,2,3,1,1,4,1,,5,1,1,4,1
5,2,99,6,1,1,1,10,1,2,,2,2,9,4,1
1,1,68,2,2,1,1,2,1,1,,2,2,2,4,9
21,2,56,3,2,1,1,9,2,1,,3,1,1,2,1
6,1,52,6,2,1,2,6,5,2,,3,9,1,3,3
17,2,59,8,2,1,1,7,3,2,,5,9,1,2,3
6,2,58,8,2,1,2,9,3,2,,4,1,1,2,1
29,1,71,5,2,1,1,4,1,3,1,9,2,2,4,9
32,2,76,3,2,2,1,4,3,2,,3,1,1,3,1
53,1,19,3,2,1,10,3,6,2,,2,1,1,3,2
55,2,76,3,2,1,1,2,1,1,,3,2,2,4,1
6,1,27,3,2,1,1,3,3,1,,2,1,1,3,1
6,2,37,4,2,2,1,7,5,2,,3,2,1,3,1
46,1,67,8,2,1,1,8,2,3,2,3,1,1,2,3
6,2,78,2,2,2,1,1,4,2,,3,1,1,4,3
53,2,58,6,2,1,4,7,2,2,,4,2,1,3,1
6,2,72,8,2,1,2,10,3,2,,5,1,1,9,9
53,2,37,5,2,1,4,7,4,3,9,1,2,2,4,2
6,2,55,5,2,1,10,10,3,2,,3,2,1,4,1
6,1,44,6,2,1,1,7,6,1,,1,2,2,3,1
53,2,69,3,1,5,2,8,2,2,,4,2,1,4,3
6,1,50,8,2,1,12,9,3,2,,5,2,1,3,3
8,1,26,6,2,1,1,4,3,3,9,3,1,1,3,1
8,1,61,8,2,2,1,8,2,2,,5,1,1,2,1
8,2,60,8,2,1,1,7,2,3,9,3,2,2,4,2
49,1,86,2,2,1,3,2,3,1,,2,1,2,4,3
6,2,66,1,1,5,2,2,3,2,,3,9,1,3,3
6,2,88,6,2,1,12,6,2,2,,4,2,9,3,1
16,1,77,6,2,1,3,7,2,1,,2,2,2,3,3
2,2,44,6,1,5,1,9,5,1,,1,2,2,4,2
15,2,54,8,2,1,13,7,4,1,,3,2,2,3,9
15,2,43,4,2,4,12,2,8,1,,4,2,9,3,1
4,1,40,4,2,1,1,7,5,1,,2,2,2,4,3
4,1,76,4,2,1,1,5,2,3,1,3,2,2,4,1
49,1,82,4,2,1,3,3,1,1,,2,2,2,3,1
4,2,86,4,2,1,1,2,1,1,,9,2,2,4,9
8,1,59,8,2,1,1,6,2,3,1,3,2,2,4,2
4,2,51,4,2,1,1,2,1,2,,3,1,1,4,1
6,1,49,8,2,1,10,9,3,3,1,3,2,2,4,1
6,2,49,4,2,1,5,6,4,1,,3,2,2,4,3
53,1,42,3,2,1,2,3,4,3,1,3,2,2,4,2
6,1,70,8,2,1,12,2,1,3,9,5,9,9,3,3
4,1,65,5,2,1,1,4,1,1,,1,2,2,4,9
53,2,43,6,2,1,2,7,3,3,2,3,2,1,3,3
53,1,49,5,2,1,13,4,2,3,1,1,2,2,4,1
39,2,30,8,2,1,13,8,3,3,1,1,2,2,3,2
42,2,58,4,2,1,1,10,4,1,,2,2,1,4,3
45,2,44,6,2,1,3,8,8,1,,2,1,9,3,3
37,2,79,3,2,1,1,3,1,2,,2,2,2,3,3
36,2,53,6,2,1,1,5,2,2,,2,2,1,4,1
51,2,29,3,2,9,12,3,4,1,,3,2,1,4,3
25,1,50,4,2,1,2,8,4,3,1,2,2,2,3,1
25,1,40,8,2,1,6,3,6,1,,2,1,1,3,3
21,1,50,3,2,1,1,4,2,3,2,3,2,2,2,2
53,2,85,6,2,1,2,4,3,2,,3,1,1,3,3
39,2,63,3,2,1,1,5,2,2,,3,2,1,4,3
18,2,80,6,2,1,1,5,2,3,1,1,2,2,4,2
36,2,62,8,2,1,99,10,3,2,,4,2,1,4,1
12,2,99,6,2,1,1,10,3,3,1,1,2,2,4,9
26,2,75,8,2,1,2,5,2,3,1,2,2,2,3,2
39,1,76,8,2,1,1,5,2,1,,1,2,2,4,9
36,1,52,5,2,1,10,7,1,3,9,3,2,2,3,1
51,1,75,6,2,1,2,7,3,3,2,3,2,2,3,3
37,2,81,5,2,1,9,2,1,2,,4,1,1,3,1
36,1,41,6,2,1,1,4,4,1,,2,2,2,4,3
12,1,19,2,1,5,2,2,6,3,1,1,1,2,4,3
13,2,84,4,2,1,1,4,2,1,,1,2,2,4,1
39,2,66,4,2,1,1,3,1,3,1,3,2,2,3,3
42,1,29,8,2,2,1,8,4,3,2,3,2,1,3,3
23,2,51,6,2,1,1,6,2,3,2,3,1,1,3,1
39,1,56,4,2,1,2,2,1,2,,3,2,1,2,1
34,1,55,6,2,1,13,6,1,1,,1,2,2,2,3
36,2,60,8,2,2,13,7,2,2,,3,1,1,2,1
1,2,38,3,2,1,1,6,4,1,,3,2,2,3,3
23,1,48,3,2,1,1,6,3,1,,3,1,2,3,3
37,1,53,1,2,1,1,8,3,3,9,1,2,2,4,2
42,2,77,3,2,1,1,10,1,2,,2,2,1,4,3
51,2,77,4,2,1,2,3,2,2,,2,1,1,3,3
36,2,67,3,2,1,2,6,1,1,,2,2,2,3,3
36,1,62,4,2,1,2,2,1,2,,5,1,1,3,3
39,1,68,6,2,1,2,5,2,1,,3,2,2,3,3
42,2,81,3,2,1,2,10,2,2,,2,2,2,2,3
23,1,59,2,2,1,12,4,2,3,9,2,2,2,2,3
12,1,34,6,2,1,1,5,4,3,1,3,2,2,3,3
11,1,55,4,2,2,2,8,3,2,,2,1,1,2,1
51,1,69,7,2,1,1,6,1,3,1,2,2,2,4,9
36,1,36,2,1,5,12,2,5,2,,4,1,1,2,1
11,2,51,6,2,2,2,9,2,3,2,4,1,1,3,3
47,1,23,3,2,1,13,4,3,2,,2,1,9,4,3
12,2,60,6,2,1,1,4,1,2,,3,2,1,2,1
45,2,58,4,2,1,1,8,2,3,2,3,2,1,4,3
13,2,36,4,2,2,2,7,3,2,,4,2,1,3,1
34,2,61,8,9,9,5,8,2,2,,4,1,1,3,1
36,1,57,3,1,1,13,2,3,3,9,3,1,2,4,2
24,1,49,8,2,1,1,8,6,3,2,3,2,1,3,1
36,2,32,6,2,1,5,10,5,1,,2,2,2,4,3
47,2,27,4,2,1,9,3,3,2,,5,2,1,3,3
12,1,53,3,2,1,1,7,2,1,,2,2,2,4,3
13,2,70,5,2,1,1,2,2,1,,2,2,2,4,3
23,1,56,6,2,1,9,8,2,2,,4,2,1,3,1
12,1,19,4,2,1,6,8,4,3,1,3,2,1,4,2
45,1,64,4,2,1,1,4,2,1,,2,2,2,3,3
21,2,58,8,2,1,1,4,2,1,,3,2,2,3,3
42,2,73,2,2,1,1,5,2,1,,2,2,2,4,9
29,1,63,7,2,1,1,3,2,3,1,2,2,2,3,2
27,1,99,6,2,1,1,3,2,1,,2,2,2,4,3
26,2,67,5,2,1,4,2,1,2,,4,1,2,3,1
27,2,85,3,2,1,1,10,1,3,9,4,1,9,4,3
28,1,60,6,2,2,2,3,2,2,,3,1,1,3,1
40,1,55,4,2,2,1,4,4,2,,3,2,1,3,3
55,1,53,8,2,1,1,8,5,1,,2,2,2,3,3
20,1,21,5,2,1,1,6,4,3,2,3,2,1,4,1
27,1,57,3,2,1,1,4,2,2,,3,1,1,3,1
26,1,20,3,2,1,9,10,3,2,,5,2,1,9,9
42,1,65,8,2,1,1,8,2,1,,3,2,2,4,1
51,1,66,8,2,1,5,9,2,2,,4,2,1,2,1
17,2,68,8,2,1,2,7,2,2,,5,1,1,3,1
39,2,54,6,2,1,10,8,2,3,2,3,1,1,3,2
47,1,44,8,2,1,1,6,5,1,,1,2,2,3,2
47,2,72,3,2,1,1,2,4,1,,2,2,9,2,1
12,1,73,4,2,1,1,4,2,1,,1,2,2,4,1
19,2,83,3,2,1,1,2,1,2,,4,1,1,3,9
12,1,65,4,2,1,2,6,2,2,,3,2,2,3,3
29,2,76,3,2,1,6,3,1,3,2,3,2,1,3,9
12,2,59,8,2,2,1,9,2,2,,3,2,1,3,1
12,2,72,5,2,1,1,5,2,3,2,4,2,9,3,3
42,2,49,6,2,1,2,10,3,2,,2,2,2,4,1
40,2,75,6,2,9,2,6,2,1,,2,2,2,3,1
29,1,66,6,2,1,1,7,4,3,1,2,2,2,4,9
37,2,50,6,2,1,1,5,2,2,,2,2,1,4,1
12,2,73,4,2,1,1,7,2,1,,3,2,2,3,3
1,2,58,5,2,1,1,4,4,1,,3,2,1,3,3
12,2,36,4,2,1,13,6,5,1,,4,2,2,4,3
21,2,56,3,2,1,13,2,2,2,,3,2,2,4,3
46,1,48,5,2,1,1,8,2,2,,2,2,1,3,3
27,2,62,5,2,1,13,10,2,1,,2,2,9,4,3
17,2,54,4,2,2,99,2,2,2,,3,2,1,4,3
17,2,99,4,9,9,99,10,2,2,,3,2,1,4,1
50,2,44,8,2,1,2,7,4,2,,4,1,1,3,1
34,2,74,3,2,2,1,4,4,2,,4,2,1,3,1
12,2,63,6,2,1,1,5,3,1,,3,2,1,4,3
55,2,69,3,2,1,1,3,3,3,9,9,2,9,3,3
34,1,67,8,2,1,2,9,1,2,,3,2,1,4,1
22,1,26,8,2,1,2,10,2,3,1,2,2,2,3,1
13,1,56,4,2,1,1,5,2,3,1,2,2,2,3,3
18,1,22,6,2,1,9,9,6,2,,4,2,1,2,9
20,2,45,8,2,1,1,2,5,3,1,1,2,2,4,3
12,2,75,7,2,1,1,1,4,1,,3,2,2,3,3
45,2,79,5,2,1,1,10,2,1,,1,2,2,4,3
48,2,46,2,2,1,1,10,3,1,,2,2,2,2,3
12,2,81,3,1,1,2,9,1,1,,2,2,2,4,9
48,2,54,3,2,1,13,8,2,1,,2,2,2,3,1
54,1,57,7,2,1,1,8,3,1,,2,2,2,3,3
55,2,77,4,2,1,1,5,2,1,,2,2,2,3,3
26,2,77,8,2,1,2,3,2,2,,3,1,1,4,3
21,1,75,6,2,2,2,5,4,2,,1,1,1,4,2
13,1,65,3,2,1,1,4,3,2,,4,2,1,3,3
27,2,78,2,2,1,1,2,1,2,,5,2,1,3,9
36,2,21,1,1,1,12,2,3,9,9,2,1,1,2,1
36,2,23,4,1,5,2,1,3,3,2,3,9,1,3,3
16,2,63,4,2,1,3,6,2,3,1,2,2,2,4,2
1,2,67,3,2,1,1,1,1,3,9,3,2,9,4,3
48,2,55,5,2,1,1,10,2,1,,2,2,2,4,3
8,2,73,8,2,1,7,3,1,3,2,4,2,1,3,3
21,1,57,6,2,1,1,9,2,2,,4,1,1,3,3
48,2,45,6,2,1,1,10,3,2,,3,2,1,3,1
27,2,80,5,2,1,2,4,1,1,,2,1,1,2,3
25,2,60,8,2,1,5,7,2,2,,5,1,1,3,3
17,1,54,4,2,1,1,6,3,2,,4,1,1,3,3
55,2,73,6,2,1,1,5,3,3,2,3,2,1,3,3
17,1,37,8,2,1,12,9,4,3,2,3,2,9,3,3
20,2,53,5,2,1,2,8,4,3,2,3,1,1,2,3
17,1,64,4,1,1,2,10,2,2,,5,2,1,2,3
11,1,61,8,2,1,10,9,1,5,2,5,9,1,9,1
42,1,45,6,2,1,2,9,5,4,1,2,2,2,4,9
55,1,66,5,2,1,2,8,4,3,2,2,2,1,3,3
23,2,59,8,2,1,12,8,1,3,2,4,2,1,2,3
9,1,55,6,2,1,2,4,1,1,,2,2,2,3,3
29,2,56,4,2,1,1,4,1,3,1,1,2,2,3,2
47,2,57,6,2,1,1,7,2,1,,2,2,2,3,1
34,1,51,3,2,1,2,3,2,3,9,5,2,2,4,3
29,2,55,6,2,1,1,5,4,1,,3,2,2,3,3
21,2,60,4,2,1,1,8,2,2,,4,2,1,2,1
42,2,40,5,2,1,11,6,4,2,,3,2,2,4,3
36,2,38,8,2,2,2,9,3,3,2,3,1,1,3,3
25,2,63,3,2,9,2,10,2,2,,2,2,2,4,9
51,1,65,6,2,1,1,9,2,1,,2,2,2,4,1
13,2,60,3,2,2,1,3,2,2,,3,1,1,3,3
13,2,57,6,2,1,1,7,3,1,,2,2,2,4,9
25,2,54,8,2,1,2,10,4,3,1,3,2,2,3,1
37,1,50,6,2,2,1,6,2,2,,2,1,1,2,1
36,1,73,4,2,1,2,5,2,1,,2,2,1,3,3
36,2,99,8,2,9,99,10,2,1,,2,2,2,3,3
42,1,71,5,2,1,2,4,2,2,,4,1,1,3,1
6,2,66,6,2,1,10,7,3,2,,4,2,1,3,1
36,2,29,8,2,1,2,10,1,1,,2,2,2,4,9
53,1,64,3,2,1,1,6,2,3,1,2,2,2,4,2
36,1,63,2,2,1,6,2,3,3,2,2,1,1,2,3
6,2,50,6,2,1,2,7,1,3,1,3,1,1,2,3
36,1,63,4,2,1,1,3,2,3,2,3,2,1,4,3
6,2,63,1,1,4,1,3,2,3,9,3,1,9,4,2
41,1,75,4,2,1,1,3,2,1,,1,2,2,4,9
53,1,70,6,2,1,2,5,2,3,1,4,2,2,4,2
41,1,75,3,2,1,2,2,2,2,,2,2,2,4,3
41,1,82,2,2,1,1,4,2,3,1,1,2,2,4,2
12,2,63,6,2,2,1,5,1,2,,4,2,1,4,1
12,2,30,4,2,1,2,2,7,3,1,3,2,2,4,3
4,1,26,4,2,1,13,2,4,3,1,2,1,1,3,3
29,1,35,8,2,1,1,10,5,3,1,1,2,2,3,1
21,1,76,3,2,1,1,10,1,2,,3,2,1,3,3
27,2,65,4,2,1,1,9,2,1,,2,2,2,4,1
6,1,18,3,2,1,11,2,2,3,2,4,2,1,3,3
26,1,36,3,2,1,2,8,6,1,,2,2,2,4,3
47,2,59,5,2,1,1,9,2,5,1,1,2,2,3,9
47,1,79,4,2,1,1,6,2,1,,2,2,2,3,1
53,1,63,8,2,1,5,9,2,3,2,3,2,2,3,3
23,1,49,4,2,1,2,3,1,2,,3,1,1,3,3
12,2,48,6,2,1,2,7,2,3,9,3,9,9,4,3
13,2,30,4,2,2,1,5,4,2,,3,1,9,3,1
37,2,75,3,2,1,2,5,2,3,1,2,2,2,4,3
9,1,68,3,2,1,2,8,3,2,,3,2,9,3,3
44,1,46,5,2,1,2,7,5,2,,4,2,1,3,1
39,1,65,3,2,1,13,7,2,3,1,2,2,2,4,3
31,1,53,4,2,1,1,10,1,1,,5,2,2,4,1
40,1,71,8,2,1,2,10,2,1,,1,2,2,4,1
55,2,22,3,2,1,1,10,2,3,9,2,2,1,4,2
48,2,31,3,2,2,13,3,3,3,2,3,2,1,3,1
48,1,60,8,2,1,2,8,2,3,2,4,1,1,3,3
17,1,68,1,1,1,2,2,5,2,,3,1,1,3,3
48,1,74,2,2,1,1,3,2,2,,2,2,1,3,9
28,1,48,3,2,1,2,6,6,1,,2,2,2,3,3
46,2,88,1,2,5,1,10,6,1,,9,1,9,9,1
55,2,66,3,2,1,2,1,1,3,2,3,2,1,3,1
48,2,70,2,2,1,1,1,2,4,1,3,2,1,3,3
29,2,77,3,2,1,1,4,1,1,,2,2,2,4,3
29,1,49,6,2,1,1,3,3,1,,2,2,2,3,9
40,2,67,3,2,1,1,2,2,1,,4,2,2,4,2
29,2,55,6,2,1,6,6,1,2,,5,2,2,4,2
5,2,69,3,2,1,1,4,1,1,,2,2,2,3,1
1,2,63,3,2,1,1,2,1,3,9,3,2,2,3,2
17,1,70,3,2,1,2,5,2,1,,2,2,2,4,1
29,2,72,6,2,1,1,3,1,4,9,9,2,1,3,3
8,2,60,6,2,1,1,9,1,3,1,2,2,2,3,2
49,2,41,4,2,1,3,8,7,1,,2,2,2,3,3
6,1,41,8,2,9,99,9,2,2,,3,2,2,3,3
6,2,82,2,2,1,2,2,1,2,,5,9,1,4,3
53,2,41,6,2,1,12,7,4,3,2,4,1,1,3,3
6,1,46,5,2,1,12,9,3,2,,3,1,1,2,1
6,2,99,3,2,1,1,2,3,3,1,3,2,2,4,2
15,1,71,8,2,1,2,7,2,1,,2,1,1,2,3
54,1,61,8,2,1,1,6,2,2,,4,1,1,2,1
42,2,72,3,2,1,2,4,3,2,,3,2,1,3,3
21,2,84,1,2,1,1,3,1,9,2,4,1,2,4,3
21,1,83,5,2,1,3,2,3,2,,3,1,1,2,1
12,2,56,3,2,1,1,6,5,3,9,4,2,2,3,3
25,2,66,3,2,1,2,2,1,3,2,3,2,1,3,3
9,2,83,8,2,1,5,8,1,2,,4,2,1,3,3
23,2,54,6,2,1,12,5,2,3,2,3,2,1,4,3
37,2,80,2,2,1,1,2,2,1,,2,2,2,4,9
36,2,58,6,2,1,5,3,2,2,,5,1,1,4,3
37,1,40,3,2,2,1,5,2,3,2,3,1,1,3,1
12,2,78,3,2,1,1,3,2,1,,2,2,2,4,1
24,2,60,4,2,2,1,2,1,2,,5,1,1,3,1
24,2,76,5,2,1,2,8,1,3,2,2,2,1,2,1
12,1,82,8,2,1,2,8,2,3,2,3,9,1,3,1
42,2,45,8,2,1,2,10,3,3,2,3,2,2,4,2
26,1,51,8,2,1,1,9,5,3,2,4,1,1,3,1
37,1,56,3,2,2,1,4,4,2,,5,1,2,2,2
50,2,62,6,2,1,11,7,2,3,2,5,1,1,4,3
39,1,75,6,2,1,12,4,2,3,2,3,2,1,4,3
42,1,75,6,2,1,1,7,2,1,,3,2,1,3,1
39,1,37,6,2,1,2,8,4,3,2,3,2,1,3,3
24,1,70,6,2,1,1,9,3,3,2,3,9,1,3,1
51,2,61,5,2,1,1,4,2,1,,1,2,2,4,3
13,2,23,3,2,1,13,1,4,3,9,9,2,9,3,2
36,1,83,3,2,1,5,10,2,1,,3,9,1,4,3
17,2,87,4,2,1,2,3,2,2,,3,2,2,4,1
51,1,78,5,2,1,1,4,3,3,1,1,2,2,4,3
13,2,33,4,2,2,1,1,3,4,9,9,9,9,4,2
1,1,60,2,2,2,1,1,1,2,,2,2,1,3,1
36,1,56,6,2,1,5,3,1,3,1,3,1,1,4,3
24,1,70,7,2,1,5,8,1,2,,2,1,2,3,1
17,1,78,6,2,1,1,6,2,1,,2,2,2,3,1
27,1,59,3,2,1,2,6,2,3,2,2,2,2,3,1
44,2,65,3,2,1,2,7,2,3,2,4,2,1,3,1
55,2,62,5,2,1,1,6,2,2,,4,2,1,3,3
26,1,63,3,2,1,13,4,1,3,9,5,2,2,4,3
12,1,86,4,2,1,13,2,3,1,,2,2,2,4,1
27,1,63,8,2,1,2,8,3,3,2,3,1,2,3,3
55,1,97,6,2,1,1,5,1,1,,2,2,2,3,3
55,1,59,5,2,1,1,4,1,1,,2,2,2,4,3
29,1,68,8,2,1,1,8,2,2,,3,1,1,9,1
28,2,55,6,2,2,1,2,1,2,,3,1,1,2,2
21,2,63,8,2,1,1,6,2,3,1,3,2,2,4,2
36,1,58,8,2,1,2,8,4,2,,4,1,1,2,1
16,1,49,8,2,1,3,8,8,1,,2,2,2,4,1
23,2,90,3,2,1,2,10,1,2,,2,1,1,4,9
51,2,89,4,2,1,2,10,4,2,,2,1,1,2,1
24,2,43,3,2,1,12,7,3,3,1,2,2,1,4,3
42,2,65,2,2,4,2,4,4,3,9,3,2,1,3,3
13,1,53,8,2,1,1,9,2,1,,2,2,2,4,9
13,2,56,3,2,1,1,4,2,1,,2,2,2,4,1
51,2,70,8,1,1,1,6,2,1,,2,2,2,4,3
18,2,54,3,2,1,2,2,2,2,,3,2,1,3,3
47,1,18,4,2,1,9,2,4,2,,5,1,1,3,3
12,2,54,4,2,1,12,2,1,3,9,2,2,2,4,2
39,1,55,8,2,1,2,9,2,1,,2,2,2,3,1
26,2,33,2,2,1,9,2,6,3,2,3,2,2,4,2
17,1,63,8,1,1,2,8,2,3,2,3,1,1,2,1
37,1,53,8,2,1,12,8,3,2,,2,2,2,4,2
4,2,61,6,2,3,12,9,2,3,2,3,2,9,3,1
4,1,60,6,2,1,12,5,1,2,,3,1,1,4,1
6,2,76,4,2,1,2,3,1,2,,2,2,1,3,3
6,1,62,3,2,1,1,4,2,1,,1,2,2,4,3
6,1,43,4,2,3,2,1,6,2,,2,1,1,2,1
6,1,59,6,2,1,10,8,3,3,2,3,1,1,3,3
53,1,50,4,2,1,1,7,2,1,,4,2,2,3,3
51,2,61,8,2,1,2,9,1,2,,3,1,1,2,1
39,2,78,4,2,1,1,4,2,1,,1,2,2,4,3
12,2,60,4,2,1,1,1,1,2,,1,9,1,3,9
39,2,70,3,2,1,2,10,2,2,,2,2,1,3,3
34,2,77,4,2,1,11,5,2,1,,2,2,2,4,1
34,2,55,6,2,1,1,8,3,2,,3,2,2,4,3
12,2,77,4,9,9,7,10,1,2,,5,9,1,2,9
12,2,66,8,2,1,1,9,2,3,9,2,2,2,4,3
13,2,20,3,2,2,99,10,3,9,9,9,2,9,3,3
12,2,90,6,2,1,5,10,1,2,,3,1,1,2,3
23,2,29,8,2,1,1,6,5,2,,4,2,1,3,1
47,2,77,4,2,1,13,10,2,3,1,9,2,2,4,3
24,2,80,8,2,1,1,3,2,2,,2,9,1,3,1
26,1,31,3,2,1,6,3,5,2,,3,9,9,3,9
47,2,60,3,2,1,1,2,2,1,,2,1,2,4,3
37,1,46,6,2,1,12,9,3,1,,2,2,2,2,3
54,2,84,1,2,1,1,1,1,2,,2,1,1,4,3
9,1,82,4,2,2,1,3,1,2,,4,1,1,3,1
39,1,46,8,2,1,2,10,4,1,,2,2,2,4,3
21,1,55,8,2,1,1,9,2,2,,3,2,1,4,1
42,2,58,8,2,1,12,8,2,2,,5,2,1,4,1
50,1,46,8,2,5,10,4,3,3,9,1,1,9,2,2
33,1,80,8,2,1,1,7,4,3,1,3,2,2,4,3
12,2,53,6,2,2,1,8,4,2,,2,1,1,4,3
41,2,26,6,2,1,13,4,2,1,,3,2,2,3,3
19,1,31,6,2,1,1,6,4,3,2,3,2,2,3,3
48,2,49,4,2,2,1,3,4,2,,2,1,1,3,1
1,1,43,6,2,1,1,10,2,1,,2,2,2,4,2
5,1,42,8,2,1,1,8,2,1,,3,2,2,4,1
55,1,85,4,2,1,1,7,2,1,,2,2,2,3,3
20,2,87,6,2,1,1,4,1,1,,9,2,2,4,1
21,2,20,4,2,1,1,10,4,1,,2,2,2,3,3
29,1,53,8,2,4,13,7,4,3,1,2,2,2,4,3
19,1,76,3,2,1,1,5,2,2,,2,1,1,3,3
22,2,47,3,2,2,1,6,3,2,,3,1,1,3,3
20,1,62,5,2,1,1,8,2,1,,2,2,2,4,3
17,1,24,6,2,1,4,7,4,3,2,3,1,2,3,3
29,1,50,2,2,1,1,5,1,3,9,3,2,2,4,3
47,2,74,3,2,1,1,3,1,1,,2,2,2,4,3
42,2,24,4,2,1,10,6,5,2,,3,2,9,4,3
37,2,29,4,2,1,13,2,6,3,9,4,2,2,4,2
17,1,99,8,2,1,2,7,3,1,,2,2,2,3,3
23,1,36,6,2,1,2,8,2,2,,2,1,2,4,3
9,2,18,3,2,9,2,7,4,1,,3,2,2,4,1
21,2,68,4,2,1,2,7,2,3,1,3,2,2,4,1
39,2,42,6,2,1,2,6,3,9,1,2,1,2,3,3
42,1,45,8,2,1,9,9,4,2,,3,2,1,4,3
36,1,56,8,2,2,1,7,1,2,,3,1,1,4,1
54,2,54,3,2,1,1,2,1,2,,3,2,2,4,2
24,1,72,4,2,1,1,7,2,2,,3,9,2,3,3
26,1,25,3,2,1,1,2,3,3,2,3,2,1,4,3
44,2,55,5,2,1,1,7,2,3,2,3,2,1,2,3
13,2,41,6,2,1,2,7,4,2,,3,2,2,3,3
51,2,66,3,2,1,1,10,2,3,9,2,1,2,4,3
12,1,60,6,2,1,1,10,2,3,9,3,9,2,4,3
26,1,64,8,2,1,1,8,2,2,,5,2,1,3,1
25,1,49,3,2,1,12,7,4,4,2,3,2,9,2,1
9,2,59,8,2,1,1,8,4,1,,3,2,2,3,1
